st,year,div_rate,lfdivlaw,unilateral,years_unilateral
"KS",1976,5.6,1969,1,7
"KS",1977,5.4,1969,1,9
"KS",1978,5.4,1969,1,9
"KS",1979,5.4,1969,1,11
"KS",1980,5.7,1969,1,11
"KS",1981,5.8,1969,1,13
"KS",1982,5.1,1969,1,13
"KS",1983,5,1969,1,15
"KS",1984,5.3,1969,1,15
"KS",1985,5.2,1969,1,15
"KS",1986,5,1969,1,15
"KS",1987,4.9,1969,1,15
"KS",1988,5,1969,1,15
"KS",1989,5,1969,1,15
"KS",1990,5.1,1969,1,15
"KS",1991,5.570676,1969,1,15
"KS",1992,5.225566,1969,1,15
"KS",1993,4.746811,1969,1,15
"KS",1994,4.684487,1969,1,15
"KS",1995,4.136158,1969,1,15
"KS",1996,4.503003,1969,1,15
"KS",1997,4.381695,1969,1,15
"KS",1998,4.051667,1969,1,15
"KY",1956,,1972,0,-99
"KY",1957,,1972,0,-99
"KY",1958,,1972,0,-99
"KY",1959,2.213901,1972,0,-99
"KY",1960,2.419606,1972,0,-99
"KY",1961,2.4,1972,0,-99
"KY",1962,2.3,1972,0,-99
"KY",1963,2.3,1972,0,-99
"KY",1964,2.5,1972,0,-99
"KY",1965,2.6,1972,0,-99
"KY",1966,2.1,1972,0,-99
"KY",1967,2.4,1972,0,-99
"KY",1968,3.1,1972,0,-99
"KY",1969,3,1972,0,-99
"KY",1970,3.3,1972,0,-99
"KY",1971,3.4,1972,0,-99
"KY",1972,3.6,1972,1,1
"KY",1973,3.9,1972,1,1
"KY",1974,4,1972,1,3
"KY",1975,4.2,1972,1,3
"KY",1976,4.5,1972,1,5
"KY",1977,4.3,1972,1,5
"KY",1978,3.8,1972,1,7
"KY",1979,4.4,1972,1,7
"KY",1980,4.6,1972,1,9
"KY",1981,4.5,1972,1,9
"KY",1982,4.4,1972,1,11
"KY",1983,4.6,1972,1,11
"KY",1984,4.6,1972,1,13
"KY",1985,4.9,1972,1,13
"KY",1986,5.1,1972,1,15
"KY",1987,5.3,1972,1,15
"KY",1988,5.4,1972,1,15
"KY",1989,5.5,1972,1,15
"KY",1990,5.7,1972,1,15
"KY",1991,6.003199,1972,1,15
"KY",1992,6.44241,1972,1,15
"KY",1993,5.856886,1972,1,15
"KY",1994,5.71247,1972,1,15
"KY",1995,5.939955,1972,1,15
"KY",1996,5.462438,1972,1,15
"KY",1997,5.644073,1972,1,15
"KY",1998,5.685622,1972,1,15
"LA",1956,,2000,0,-99
"LA",1957,,2000,0,-99
"LA",1958,,2000,0,-99
"LA",1959,,2000,0,-99
"LA",1960,,2000,0,-99
"LA",1961,,2000,0,-99
"LA",1962,,2000,0,-99
"LA",1963,,2000,0,-99
"LA",1964,,2000,0,-99
"LA",1965,,2000,0,-99
"LA",1966,,2000,0,-99
"LA",1967,,2000,0,-99
"LA",1968,,2000,0,-99
"LA",1969,,2000,0,-99
"LA",1970,,2000,0,-99
"LA",1971,2.5,2000,0,-99
"LA",1972,2.8,2000,0,-99
"LA",1973,,2000,0,-99
"LA",1974,,2000,0,-99
"LA",1975,,2000,0,-99
"LA",1976,3.2,2000,0,-99
"LA",1977,,2000,0,-99
"LA",1978,3.2,2000,0,-99
"LA",1979,3.7,2000,0,-99
"LA",1980,4.3,2000,0,-99
"LA",1981,,2000,0,-99
"LA",1982,3.8,2000,0,-99
"LA",1983,3.6,2000,0,-99
"LA",1984,,2000,0,-99
"LA",1985,,2000,0,-99
"LA",1986,,2000,0,-99
"LA",1987,,2000,0,-99
"LA",1988,,2000,0,-99
"LA",1989,,2000,0,-99
"LA",1990,,2000,0,-99
"LA",1991,,2000,0,-99
"LA",1992,,2000,0,-99
"LA",1993,,2000,0,-99
"LA",1994,,2000,0,-99
"LA",1995,,2000,0,-99
"LA",1996,,2000,0,-99
"LA",1997,,2000,0,-99
"LA",1998,,2000,0,-99
"MA",1956,,1975,0,-99
"MA",1957,1.1,1975,0,-99
"MA",1958,1.1,1975,0,-99
"MA",1959,1.1,1975,0,-99
"MA",1960,1.1,1975,0,-99
"MA",1961,1.1,1975,0,-99
"MA",1962,1.2,1975,0,-99
"MA",1963,1.1,1975,0,-99
"MA",1964,1.3,1975,0,-99
"MA",1965,1.5,1975,0,-99
"MA",1966,1.9,1975,0,-99
"MA",1967,1.3,1975,0,-99
"MA",1968,1.8,1975,0,-99
"MA",1969,2,1975,0,-99
"MA",1970,1.9,1975,0,-99
"MA",1971,2.2,1975,0,-99
"MA",1972,2.5,1975,0,-99
"MA",1973,2.5,1975,0,-99
"MA",1974,2.8,1975,0,-99
"MA",1975,2.9,1975,1,1
"MA",1976,3,1975,1,1
"MA",1977,2.9,1975,1,3
"MA",1978,2.8,1975,1,3
"MA",1979,3,1975,1,5
"MA",1980,3.1,1975,1,5
"MA",1981,3.4,1975,1,7
"MA",1982,3.4,1975,1,7
"MA",1983,3.2,1975,1,9
"MA",1984,3,1975,1,9
"MA",1985,3.7,1975,1,11
"MA",1986,3.4,1975,1,11
"MA",1987,2.9,1975,1,13
"MA",1988,3,1975,1,13
"MA",1989,2.8,1975,1,15
"MA",1990,2.7,1975,1,15
"MA",1991,2.250506,1975,1,15
"MA",1992,2.786364,1975,1,15
"MA",1993,2.417282,1975,1,15
"MA",1994,2.653137,1975,1,15
"MA",1995,2.226865,1975,1,15
"MA",1996,2.037666,1975,1,15
"MA",1997,2.646564,1975,1,15
"MA",1998,2.689275,1975,1,15
"MD",1956,1.9,2000,0,-99
"MD",1957,2,2000,0,-99
"MD",1958,1.7,2000,0,-99
"MD",1959,1.7,2000,0,-99
"MD",1960,1.7,2000,0,-99
"MD",1961,1.7,2000,0,-99
"MD",1962,1.9,2000,0,-99
"MD",1963,1.9,2000,0,-99
"MD",1964,1.9,2000,0,-99
"MD",1965,2,2000,0,-99
"MD",1966,2,2000,0,-99
"MD",1967,2,2000,0,-99
"MD",1968,2.2,2000,0,-99
"MD",1969,2.3,2000,0,-99
"MD",1970,2.4,2000,0,-99
"MD",1971,2.5,2000,0,-99
"MD",1972,2.8,2000,0,-99
"MD",1973,3.4,2000,0,-99
"MD",1974,3.6,2000,0,-99
"MD",1975,3.7,2000,0,-99
"MD",1976,3.9,2000,0,-99
"MD",1977,4,2000,0,-99
"MD",1978,3.9,2000,0,-99
"MD",1979,4,2000,0,-99
"MD",1980,4.1,2000,0,-99
"MD",1981,4,2000,0,-99
"MD",1982,3.8,2000,0,-99
"MD",1983,3.8,2000,0,-99
"MD",1984,3.7,2000,0,-99
"MD",1985,3.7,2000,0,-99
"MD",1986,3.5,2000,0,-99
"MD",1987,3.4,2000,0,-99
"MD",1988,3.6,2000,0,-99
"MD",1989,3.5,2000,0,-99
"MD",1990,3.5,2000,0,-99
"MD",1991,3.418328,2000,0,-99
"MD",1992,3.589972,2000,0,-99
"MD",1993,3.528373,2000,0,-99
"MD",1994,3.20094,2000,0,-99
"MD",1995,2.985877,2000,0,-99
"MD",1996,3.223164,2000,0,-99
"MD",1997,2.97374,2000,0,-99
"MD",1998,3.196251,2000,0,-99
"ME",1956,2.1,1973,0,-99
"ME",1957,2,1973,0,-99
"ME",1958,2,1973,0,-99
"ME",1959,2.1,1973,0,-99
"ME",1960,2.2,1973,0,-99
"ME",1961,2,1973,0,-99
"ME",1962,2.1,1973,0,-99
"ME",1963,2.2,1973,0,-99
"ME",1964,2.4,1973,0,-99
"ME",1965,2.6,1973,0,-99
"ME",1966,2.7,1973,0,-99
"ME",1967,3.1,1973,0,-99
"ME",1968,3.2,1973,0,-99
"ME",1969,3.5,1973,0,-99
"ME",1970,3.9,1973,0,-99
"ME",1971,3.9,1973,0,-99
"ME",1972,4,1973,0,-99
"ME",1973,4.3,1973,1,1
"ME",1974,4.6,1973,1,1
"ME",1975,5.2,1973,1,3
"ME",1976,5.1,1973,1,3
"ME",1977,5.1,1973,1,5
"ME",1978,5.6,1973,1,5
"ME",1979,5.5,1973,1,7
"ME",1980,5.5,1973,1,7
"ME",1981,5.6,1973,1,9
"ME",1982,5.1,1973,1,9
"ME",1983,5.2,1973,1,11
"ME",1984,5,1973,1,11
"ME",1985,5.2,1973,1,13
"ME",1986,4.8,1973,1,13
"ME",1987,5,1973,1,15
"ME",1988,5,1973,1,15
"ME",1989,4.7,1973,1,15
"ME",1990,4.2,1973,1,15
"ME",1991,4.694687,1973,1,15
"ME",1992,4.774436,1973,1,15
"ME",1993,4.387622,1973,1,15
"ME",1994,4.267638,1973,1,15
"ME",1995,4.444667,1973,1,15
"ME",1996,,1973,1,15
"ME",1997,3.653184,1973,1,15
"ME",1998,4.113649,1973,1,15
"MI",1956,2.2,1972,0,-99
"MI",1957,2,1972,0,-99
"MI",1958,1.8,1972,0,-99
"MI",1959,2.1,1972,0,-99
"MI",1960,2.1,1972,0,-99
"MI",1961,2.1,1972,0,-99
"MI",1962,2.2,1972,0,-99
"MI",1963,2.2,1972,0,-99
"MI",1964,2.4,1972,0,-99
"MI",1965,2.4,1972,0,-99
"MI",1966,2.6,1972,0,-99
"MI",1967,2.7,1972,0,-99
"MI",1968,2.9,1972,0,-99
"MI",1969,3.2,1972,0,-99
"MI",1970,3.4,1972,0,-99
"MI",1971,3.5,1972,0,-99
"MI",1972,4,1972,1,1
"MI",1973,4.3,1972,1,1
"MI",1974,4.6,1972,1,3
"MI",1975,4.5,1972,1,3
"MI",1976,4.7,1972,1,5
"MI",1977,4.7,1972,1,5
"MI",1978,4.9,1972,1,7
"MI",1979,4.8,1972,1,7
"MI",1980,4.9,1972,1,9
"MI",1981,4.7,1972,1,9
"MI",1982,4.4,1972,1,11
"MI",1983,4.2,1972,1,11
"MI",1984,4.1,1972,1,13
"MI",1985,4.3,1972,1,13
"MI",1986,4.3,1972,1,15
"MI",1987,4.3,1972,1,15
"MI",1988,4.3,1972,1,15
"MI",1989,4.4,1972,1,15
"MI",1990,4.4,1972,1,15
"MI",1991,4.236286,1972,1,15
"MI",1992,4.160365,1972,1,15
"MI",1993,4.064018,1972,1,15
"MI",1994,4.088171,1972,1,15
