czone,has_insurance,cs_frac_black,cs_frac_hisp,gt_hs_educ,has_medicaid,hosp_beds,inctot,median_house_value,occupancy,physical_disab,poor_share,pymt_charity_patients,reimb_penroll_adj10,share_hosp_forprofit,share_hosp_teaching,uncomp_charity_patients
700,0.882586586601727,0.20749832153320313,0.02516832113265991,0.3024827837944031,0.0955563386945396,829.5771687825521,10.1689353180947,116802.48203221134,0.5096862812836965,0.09484551101922988,0.12575916945934296,2362035.6430358887,9127.5712890625,0.20432635645071665,0.25,21800802.104166668
800,0.909692977411284,0.1377781963348389,0.02889693737030029,0.31308290362358093,0.11075346833818496,874,10.193313612405309,118714.90021676302,0.4825752377510071,0.08742046356201172,0.11618813127279282,1625548.522298177,9649.2216796875,0,0,24882762.833333332
900,0.8988369886783505,0.2273301887512207,0.04943881034851074,0.3495734930038452,0.08670102216200128,3527.75159962972,10.31355879364115,165916.77898638064,0.4743771155675252,0.0795849934220314,0.09640856087207794,2185551.201939901,8973.728515625,0.3333333432674408,0.407407412926356,140052889.16666666
1001,0.8961745633739437,0.021858561038970947,0.015317795276641845,0.326084703207016,0.09333597454445389,137.66666666666666,10.152038453126716,149256.61410846954,0.3697481652100881,0.1027355045080185,0.183993861079216,2265.461710611979,9237.5693359375,0,0,2216590.0696614585
1002,0.8689991866608962,0.047359795570373536,0.031457879543304444,0.3147934377193451,0.09937025614029438,301,10.18613669803506,109955.76524010002,0.4182647963364919,0.08830606937408447,0.11782568693161012,61395.397135416664,8456.8701171875,0,0.3333333432674408,6119288.78125
1100,0.9086985343647314,0.09086670875549316,0.039524407386779786,0.3472599685192108,0.0968822050285012,943.70526123046875,10.345185283013713,137838.8293964562,0.4796520074208578,0.07295046001672745,0.09059525281190872,602792.447265625,9096.341796875,0.32451091210047406,0,15935989.583333334
1201,0.8630449408351968,0.010499097108840942,0.025344955921173095,0.3294321298599243,0.11041942574346088,74,10.234562968725902,141831.90719471333,0.3666622241338094,0.08163502812385559,0.12115128338336945,133390.31640625,8046.625,0.5,0,1904633.8932291667
1202,0.8681035196737765,0.014348580837249755,0.0153100848197937,0.3215402662754059,0.11288218671185424,126.99817911783856,10.21856220712482,129447.3753200709,0.29712056120236713,0.09003417193889618,0.16598506271839142,49490.183756510414,8158.44580078125,0,0,1781457.3854166667
1203,0.8815262811616887,0.0503331184387207,0.029954454898834228,0.3358445167541504,0.11245635031510308,1103.1696065266926,10.218222744509028,158120.88058546628,0.5554898579915365,0.08983935415744781,0.11105363070964812,207861.31306966147,8113.197265625,0,0.5,46924901.708333336
1204,0.8615515388131421,0.009349709153175354,0.009986427426338196,0.3294321298599243,0.10957338378066728,129.9853884379069,10.234562968725902,137143.78095097895,0.3224852780501048,0.08163502812385559,0.13407112658023834,113823.8866373698,8262.576171875,0.31756482521692914,0,3170061.890625
1301,0.8582320128249334,0.39956138610839836,0.01642779231071472,0.3166678547859192,0.12927322541402164,153,10.201229833311931,81744.1145802651,0.21725636223951977,0.092779278755188,0.20866261422634125,10811.33539835612,9495.01953125,1,0,1270065.9895833333
1302,0.8694157824276463,0.3407700729370117,0.017237232923507692,0.3315322697162628,0.11154665387936412,2103.5529988606772,10.21757888506909,128373.23053167843,0.4942481915156047,0.09230753034353256,0.17041146755218506,655159.9029846191,9636.5556640625,0.3907010853290558,0.1428571492433548,49195695.4296875
1400,0.8779163845526518,0.29853546142578125,0.05720841884613037,0.33398640155792236,0.14091162082184258,1384.614184697469,10.242221063541203,117319.61992263056,0.59149698416392,0.08254164457321167,0.1586814522743225,20061199.573079426,9395.646484375,0.1666666716337204,0.22222222884496057,54192671.833333336
1500,0.8957855413220246,0.21038612365722656,0.025442595481872558,0.3887169063091278,0.1024856157052912,952.0164591471354,10.25710483561302,158151.0813794183,0.5015803674856821,0.0789303109049797,0.15188676118850708,321891.27652994794,9325.1103515625,0.01216632624467214,0.20000000298023224,18415569.192708332
1600,0.9114300696085752,0.4158872985839844,0.041274676322937014,0.39740630984306335,0.12536724729568946,682,10.479615034317396,115699.36838273262,0.4240975081920624,0.07087324559688568,0.16731810569763184,1776736.4438476562,9004.974609375,0,0,12845770.6875
